DATE,TICKET,TYPE,SYMBOL,VOLUME,ENTRY,PRICE,STOPLOSS,TAKEPROFIT,PROFIT,COMMISSION,FEE,SWAP,MAGIC,COMMENT
2025.05.22 00:00:00,1,2,,0.00,0,0.00000,0.00000,0.00000,10000.00,0.00,0.00,0.00,0,
2025.07.15 12:00:00,2,1,EURUSD,5.00,0,1.16869,1.17192,1.16419,0.00,0.00,0.00,0.00,0,NB Sell + ATR
2025.07.15 16:52:05,3,0,EURUSD,5.00,1,1.16418,1.17192,1.16419,2255.00,0.00,0.00,0.00,0,tp 1.16419
2025.08.21 12:00:00,4,1,EURUSD,5.00,0,1.16547,1.16911,1.16038,0.00,0.00,0.00,0.00,0,NB Sell + ATR
2025.08.21 17:00:00,5,0,EURUSD,5.00,1,1.16217,1.16911,1.16038,1650.00,0.00,0.00,0.00,0,
2025.08.28 11:00:00,6,1,EURUSD,5.00,0,1.16436,1.16736,1.16019,0.00,0.00,0.00,0.00,0,NB Sell + ATR
2025.08.28 13:43:39,7,0,EURUSD,5.00,1,1.16737,1.16736,1.16019,-1505.00,0.00,0.00,0.00,0,sl 1.16736
2025.09.04 11:00:00,8,1,EURUSD,5.00,0,1.16505,1.16802,1.16093,0.00,0.00,0.00,0.00,0,NB Sell + ATR
2025.09.04 16:00:00,9,0,EURUSD,5.00,1,1.16465,1.16802,1.16093,200.00,0.00,0.00,0.00,0,
2025.09.29 13:00:00,10,1,EURUSD,5.00,0,1.17175,1.17535,1.16673,0.00,0.00,0.00,0.00,0,NB Sell + ATR
2025.09.29 16:45:36,11,0,EURUSD,5.00,1,1.17536,1.17535,1.16673,-1805.00,0.00,0.00,0.00,0,sl 1.17535
2025.10.03 11:00:00,12,1,EURUSD,5.00,0,1.17322,1.17635,1.16886,0.00,0.00,0.00,0.00,0,NB Sell + ATR
2025.10.03 16:00:00,13,0,EURUSD,5.00,1,1.17404,1.17635,1.16886,-410.00,0.00,0.00,0.00,0,
2025.10.09 13:00:00,14,1,EURUSD,5.00,0,1.16263,1.16649,1.15723,0.00,0.00,0.00,0.00,0,NB Sell + ATR
2025.10.09 18:00:00,15,0,EURUSD,5.00,1,1.15815,1.16649,1.15723,2240.00,0.00,0.00,0.00,0,
2025.10.23 11:00:00,16,1,EURUSD,5.00,0,1.16001,1.16262,1.15640,0.00,0.00,0.00,0.00,0,NB Sell + ATR
2025.10.23 16:00:00,17,0,EURUSD,5.00,1,1.16014,1.16262,1.15640,-65.00,0.00,0.00,0.00,0,
2025.10.24 12:00:00,18,1,EURUSD,5.00,0,1.16097,1.16389,1.15691,0.00,0.00,0.00,0.00,0,NB Sell + ATR
2025.10.24 15:30:38,19,0,EURUSD,5.00,1,1.16389,1.16389,1.15691,-1460.00,0.00,0.00,0.00,0,sl 1.16389
2025.11.04 11:00:00,20,1,EURUSD,5.00,0,1.15139,1.15443,1.14718,0.00,0.00,0.00,0.00,0,NB Sell + ATR
2025.11.04 16:00:00,21,0,EURUSD,5.00,1,1.14929,1.15443,1.14718,1050.00,0.00,0.00,0.00,0,
2025.11.05 11:00:00,22,1,EURUSD,5.00,0,1.14888,1.15147,1.14530,0.00,0.00,0.00,0.00,0,NB Sell + ATR
2025.11.05 16:00:00,23,0,EURUSD,5.00,1,1.14742,1.15147,1.14530,730.00,0.00,0.00,0.00,0,
2025.11.07 11:00:00,24,1,EURUSD,5.00,0,1.15348,1.15598,1.15002,0.00,0.00,0.00,0.00,0,NB Sell + ATR
2025.11.07 13:30:29,25,0,EURUSD,5.00,1,1.15598,1.15598,1.15002,-1250.00,0.00,0.00,0.00,0,sl 1.15598
2025.11.19 14:00:00,26,1,EURUSD,5.00,0,1.15866,1.16239,1.15345,0.00,0.00,0.00,0.00,0,NB Sell + ATR
2025.11.19 19:00:00,27,0,EURUSD,5.00,1,1.15404,1.16239,1.15345,2310.00,0.00,0.00,0.00,0,
2025.11.21 11:00:00,28,1,EURUSD,5.00,0,1.15408,1.15712,1.14986,0.00,0.00,0.00,0.00,0,NB Sell + ATR
