DATE,TICKET,TYPE,SYMBOL,VOLUME,ENTRY,PRICE,STOPLOSS,TAKEPROFIT,PROFIT,COMMISSION,FEE,SWAP,MAGIC,COMMENT
2025.05.22 00:00:00,1,2,,0.00,0,0.00000,0.00000,0.00000,10000.00,0.00,0.00,0.00,0,
2025.05.27 09:00:00,2,0,EURJPY,5.00,0,163.02600,162.48400,163.73600,0.00,0.00,0.00,0.00,0,NB Buy + ATR
2025.05.27 14:00:00,3,1,EURJPY,5.00,1,163.50900,163.02600,163.73600,1675.42,0.00,0.00,0.00,0,
2025.05.28 06:00:00,4,0,EURJPY,5.00,0,163.48100,162.94900,164.17600,0.00,0.00,0.00,0.00,0,NB Buy + ATR
2025.05.28 11:00:00,5,1,EURJPY,5.00,1,163.27600,162.94900,164.17600,-711.07,0.00,0.00,0.00,0,
2025.05.30 07:00:00,6,0,EURJPY,5.00,0,163.28200,162.69900,164.04200,0.00,0.00,0.00,0.00,0,NB Buy + ATR
2025.05.30 12:00:00,7,1,EURJPY,5.00,1,163.12400,162.69900,164.04200,-548.41,0.00,0.00,0.00,0,
2025.06.02 10:00:00,8,0,EURJPY,5.00,0,163.29500,162.77400,163.97800,0.00,0.00,0.00,0.00,0,NB Buy + ATR
2025.06.02 15:00:00,9,1,EURJPY,5.00,1,162.94800,162.77400,163.97800,-1215.34,0.00,0.00,0.00,0,
2025.06.03 06:00:00,10,0,EURJPY,5.00,0,163.50900,162.94800,164.24300,0.00,0.00,0.00,0.00,0,NB Buy + ATR
2025.06.03 10:25:41,11,1,EURJPY,5.00,1,162.94700,162.94800,164.24300,-1970.17,0.00,0.00,0.00,0,sl 162.948
2025.06.04 07:00:00,12,0,EURJPY,5.00,0,163.77400,163.19700,164.53100,0.00,0.00,0.00,0.00,0,NB Buy + ATR
2025.06.04 09:18:31,13,1,EURJPY,5.00,1,163.77400,163.77400,164.53100,0.00,0.00,0.00,0.00,0,sl 163.774
2025.06.04 10:00:00,14,0,EURJPY,5.00,0,163.82400,163.24900,164.57900,0.00,0.00,0.00,0.00,0,NB Buy + ATR
2025.06.04 15:00:00,15,1,EURJPY,5.00,1,164.16800,163.82400,164.57900,1192.21,0.00,0.00,0.00,0,
2025.06.05 10:00:00,16,0,EURJPY,5.00,0,163.41800,162.96300,164.01200,0.00,0.00,0.00,0.00,0,NB Buy + ATR
2025.06.05 12:32:04,17,1,EURJPY,5.00,1,163.41800,163.41800,164.01200,0.00,0.00,0.00,0.00,0,sl 163.418
2025.06.05 13:00:00,18,0,EURJPY,5.00,0,163.54800,163.00700,164.25500,0.00,0.00,0.00,0.00,0,NB Buy + ATR
2025.06.05 16:23:27,19,1,EURJPY,5.00,1,164.25500,163.54800,164.25500,2470.97,0.00,0.00,0.00,0,tp 164.255
2025.06.06 09:00:00,20,0,EURJPY,5.00,0,164.53100,163.94400,165.30200,0.00,0.00,0.00,0.00,0,NB Buy + ATR
2025.06.06 14:00:00,21,1,EURJPY,5.00,1,164.58300,163.94400,165.30200,180.45,0.00,0.00,0.00,0,
2025.06.09 06:00:00,22,0,EURJPY,5.00,0,164.98800,164.47900,165.65100,0.00,0.00,0.00,0.00,0,NB Buy + ATR
2025.06.09 11:00:00,23,1,EURJPY,5.00,1,164.64900,164.47900,165.65100,-1175.89,0.00,0.00,0.00,0,
2025.06.09 11:00:00,24,0,EURJPY,5.00,0,164.66100,164.22500,165.22700,0.00,0.00,0.00,0.00,0,NB Buy + ATR
